Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
199,Aloha,Moon,2.55,29.79,-53.88,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Hawaiian female first name.,,,,,
202,Alpetragius,Moon,40.02,-16.05,-4.51,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Al-Bitrūjī Al-Ishbīlī, Abū Ishāq; Spanish astronomer (unkn-c. 1100).",,,,,
206,Alphonsus,Moon,110.54,-13.39,-2.85,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Alfonso X (El Sabio), Spanish astronomer (1221-1284).,,,,
208,Alter,Moon,64.73,18.74,-107.8,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Dinsmore; American astronomer, meteorologist (1888-1968).",,,,,
223,Ameghino,Moon,9.2,3.3,57.04,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Fiorino (or Florentino), Argentine paleontologist and anthropologist (1854-1911).,,,,
232,Amici,Moon,52.03,-10.06,-172.23,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Giovanni Battista; Italian astronomer, optician (1786-1863).",,,,,
236,Ammonius,Moon,8.55,-8.52,-0.83,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Greek philosopher (unkn.-c. A.D. 517-526).,,,,,
240,Amontons,Moon,2.47,-5.34,46.78,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Guillaume, French physicist (1663-1705).,,,,
247,Amundsen,Moon,103.39,-84.44,83.07,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,Roald Engelbregt Gravning, Norwegian explorer (1872-1928).,,,,
252,Anaxagoras,Moon,51.9,73.48,-10.17,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (500-428 B.C.).,,,,,
254,Anaximander,Moon,68.71,66.97,-51.44,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (c. 611-547 B.C.).,,,,,
255,Anaximenes,Moon,81.12,72.49,-44.98,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (585-528 B.C.).,,,,,
267,Andel,Moon,32.93,-10.41,12.38,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Karel, Czechoslovakian astronomer (1884-1948).,,,,
259,Anders,Moon,41.33,-41.31,-143.3,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,William Alison, American astronaut (1933-Live).,,,,
11867,Anders Earthrise,Moon,40.15,-11.73,100.47,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,"Oct 05, 2018","Crater visible in the foreground of the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, showing the Earth and part of the Moon’s surface. The crater was previously designated Pasteur T.",,,,,
260,Anderson,Moon,105.33,15.5,170.79,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,John August, American astronomer (1876-1959).,,,,
261,Andersson,Moon,13.42,-49.95,-95.46,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1985,Leif Erland, American astronomer (1943-1979).,,,,
265,Andronov,Moon,16.57,-22.68,146.11,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Aleksandr Aleksandrovich, Soviet physicist (1901-1952).,,,,
269,Ango,Moon,0.87,20.48,-32.34,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,African male name.,,,,,
272,Angstrom,Moon,9.55,29.9,-41.67,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Anders Jonas, Swedish physicist (1814-1874).,,,,
280,Ann,Moon,2.12,25.11,-0.05,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Hebrew female name.,,,,,
283,Annegrit,Moon,1.29,29.43,-25.64,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,German female name.,,,,,
289,Ansgarius,Moon,91.42,-12.92,79.72,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,St. Ansgar, German theologian (801-864).,,,,
296,Antoniadi,Moon,137.92,-69.3,-173.06,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Eugène Michael, Turkish-born French astronomer (1870-1944).,,,,
304,Anuchin,Moon,62.14,-48.85,101.66,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1979,Dimitrii Nikolaevich, Russian geographer (1843-1923).,,,,
307,Anville,Moon,10.26,1.84,49.51,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Jean-Baptiste Bourguignon, French cartographer (1697-1782).,,,,
314,Apennine Front,Moon,6.63,25.92,3.68,"Planetographic, +East, -180 - 180",Landing site name,LF,Approved,1973,"Astronaut-named feature, Apollo 15 site.",,,,,
320,Apianus,Moon,63.44,-26.96,7.87,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Bienewitz, Peter; German mathematician, astronomer (1495-1552).",,,,,
326,Apollo,Moon,524.23,-35.69,-151.48,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Named to honor Apollo missions.,,,,,
