Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
157,Alba Catena,Mars,144.86,35.04,245.42,"Planetocentric, +East, 0 - 360","Catena, catenae",CA,Approved,1985,Classical albedo name.,,,,,
158,Alba Fossae,Mars,2072.02,49.39,253.18,"Planetocentric, +East, 0 - 360","Fossa, fossae",FO,Approved,1973,Classical albedo name.,,,,,
14306,Alba Mons,Mars,548.02,41.08,249.29,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,"Sep 19, 2007",Classical albedo feature name.,,,,,
159,Alba Patera,Mars,65.98,39.53,250.82,"Planetocentric, +East, 0 - 360","Patera, paterae",PE,Approved,1973,Classical albedo name.,,,,,
160,Albany,Mars,2.15,22.96,310.98,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,American colonial town (New York).,,,,,
164,Albi,Mars,9.07,-41.47,324.99,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1976,Town in France.,,,,,
165,Albor Fossae,Mars,155,18.09,150.78,"Planetocentric, +East, 0 - 360","Fossa, fossae",FO,Approved,1985,"From albedo feature at 20N, 205W.",,,,,
166,Albor Tholus,Mars,158.38,18.87,150.47,"Planetocentric, +East, 0 - 360","Tholus, tholi",TH,Approved,1973,Classical albedo feature name.,,,,,
178,Alexey Tolstoy,Mars,93.04,-47.44,125.34,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1982,Aleksey, Soviet writer (1882-1945).,,,,
182,Alga,Mars,18.72,-24.34,333.32,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1976,Town in Kazakhstan.,,,,,
189,Alitus,Mars,50,-34.91,321.86,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,"(Alytus), town in Lithuania.",,,,,
193,Allegheny Vallis,Mars,171.08,-9.01,306.1,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,2003,"River in Pennsylvania, USA.",,,,,
15605,Alnif,Mars,23.99,-15.14,328.91,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Jul 05, 2017",Town in Morocco.,,,,,
15771,Alofi,Mars,43,9.84,359.98,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Aug 31, 2018",Town in Niue.,,,,,
205,Alpheus Colles,Mars,633.03,-39.38,61.53,"Planetocentric, +East, 0 - 360","Collis, colles",CO,Approved,1985,"From albedo feature at 45S, 292W.",,,,,
218,Amazonis,Mars,0,0,220,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Land of the Amazons, on the island Hesperia.,,,,
219,Amazonis Mensa,Mars,414.04,-1.98,213.1,"Planetocentric, +East, 0 - 360","Mensa, mensae",MN,Approved,2003,Classical albedo feature name.,,,,,
220,Amazonis Planitia,Mars,2809.04,25.75,197.09,"Planetocentric, +East, 0 - 360","Planitia, planitiae",PL,Approved,1973,Classical albedo feature name, home of the Amazons.,,,,
221,Amazonis Sulci,Mars,250.59,-2.15,216.29,"Planetocentric, +East, 0 - 360","Sulcus, sulci",SU,Approved,1985,Albedo feature name, home of the Amazons.,,,,
16078,Amed,Mars,30,-4.37,77.83,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"May 18, 2022",Village in Indonesia.,,,,,
226,Amenthes,Mars,0,4.94,110,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Egyptian name for place where souls of the dead go.,,,,,
6960,Amenthes Cavi,Mars,1330.5,16.23,114.52,"Planetocentric, +East, 0 - 360","Cavus, cavi",CB,Approved,2006,Classical albedo feature name.,,,,,
227,Amenthes Fossae,Mars,850,9.07,102.68,"Planetocentric, +East, 0 - 360","Fossa, fossae",FO,Approved,1976,Classical albedo feature name.,,,,,
228,Amenthes Planum,Mars,953,3.4,105.92,"Planetocentric, +East, 0 - 360","Planum, plana",PM,Approved,2006,Classical albedo feature name.,,,,,
229,Amenthes Rupes,Mars,335.25,1.51,110.68,"Planetocentric, +East, 0 - 360","Rupes, rupēs",RU,Approved,1982,Classical albedo feature name.,,,,,
6776,Amet,Mars,0,23.45,302.6,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Dropped,1988,Town in India.,,,,,
6777,Ammonii Rupes,Mars,100,-6.52,175.8,"Planetocentric, +East, 0 - 360","Rupes, rupēs",RU,Dropped,1985,"Named for albedo feature at 6S, 183W.",,,,,
242,Amphitrites Patera,Mars,129.8,-58.7,60.87,"Planetocentric, +East, 0 - 360","Patera, paterae",PE,Approved,1973,Mare Amphitrites, classical albedo feature name.,,,,
246,Amsterdam,Mars,1.66,23,313,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,Dutch port.,,,,,
15534,Andapa,Mars,11,-5.33,355.27,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Jan 18, 2017",Town in Madagascar.,,,,,
15873,Angelica,Mars,3.5,18.65,76.95,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Jan 17, 2020","Town in New York, USA.",,,,,
273,Angu,Mars,2.08,20.01,105.64,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1988,Town in Zaire.,,,,,
275,Angusta Patera,Mars,15.4,-80.59,280.5,"Planetocentric, +East, 0 - 360","Patera, paterae",PE,Dropped,1991,Classical albedo name. Name dropped Sept. 2006 because feature was incorrectly named.,,,,,
14177,Angustus Labyrinthus,Mars,67.52,-81.62,296.61,"Planetocentric, +East, 0 - 360","Labyrinthus, labyrinthi",LB,Approved,"Sep 13, 2006",Classical albedo feature name.,,,,,
277,Aniak,Mars,50.97,-31.84,290.44,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,"Town in Alaska, USA.",,,,,
279,Anio Valles,Mars,54,37.75,55.89,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1988,Classical river in Italy, modern Aniene and Teverone rivers.,,,,
281,Annapolis,Mars,1.11,23.16,312.27,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,American colonial town (Maryland).,,,,,
